                                 Started job on |	Jul 24 18:32:12
                             Started mapping on |	Jul 24 18:32:13
                                    Finished on |	Jul 24 18:33:03
       Mapping speed, Million of reads per hour |	703.99

                          Number of input reads |	9777609
                      Average input read length |	51
                                    UNIQUE READS:
                   Uniquely mapped reads number |	8437692
                        Uniquely mapped reads % |	86.30%
                          Average mapped length |	50.72
                       Number of splices: Total |	96912
            Number of splices: Annotated (sjdb) |	92300
                       Number of splices: GT/AG |	96089
                       Number of splices: GC/AG |	175
                       Number of splices: AT/AC |	10
               Number of splices: Non-canonical |	638
                      Mismatch rate per base, % |	0.38%
                         Deletion rate per base |	0.01%
                        Deletion average length |	1.52
                        Insertion rate per base |	0.00%
                       Insertion average length |	1.04
                             MULTI-MAPPING READS:
        Number of reads mapped to multiple loci |	0
             % of reads mapped to multiple loci |	0.00%
        Number of reads mapped to too many loci |	931971
             % of reads mapped to too many loci |	9.53%
                                  UNMAPPED READS:
       % of reads unmapped: too many mismatches |	0.00%
                 % of reads unmapped: too short |	4.15%
                     % of reads unmapped: other |	0.02%
