                                 Started job on |	Jul 24 18:56:20
                             Started mapping on |	Jul 24 18:56:20
                                    Finished on |	Jul 24 18:57:10
       Mapping speed, Million of reads per hour |	948.91

                          Number of input reads |	13179313
                      Average input read length |	51
                                    UNIQUE READS:
                   Uniquely mapped reads number |	10145266
                        Uniquely mapped reads % |	76.98%
                          Average mapped length |	50.67
                       Number of splices: Total |	89082
            Number of splices: Annotated (sjdb) |	81533
                       Number of splices: GT/AG |	86280
                       Number of splices: GC/AG |	307
                       Number of splices: AT/AC |	57
               Number of splices: Non-canonical |	2438
                      Mismatch rate per base, % |	0.38%
                         Deletion rate per base |	0.00%
                        Deletion average length |	1.36
                        Insertion rate per base |	0.00%
                       Insertion average length |	1.04
                             MULTI-MAPPING READS:
        Number of reads mapped to multiple loci |	0
             % of reads mapped to multiple loci |	0.00%
        Number of reads mapped to too many loci |	2685193
             % of reads mapped to too many loci |	20.37%
                                  UNMAPPED READS:
       % of reads unmapped: too many mismatches |	0.00%
                 % of reads unmapped: too short |	2.62%
                     % of reads unmapped: other |	0.02%
