                                 Started job on |	Jul 24 18:51:55
                             Started mapping on |	Jul 24 18:51:56
                                    Finished on |	Jul 24 18:52:29
       Mapping speed, Million of reads per hour |	1027.50

                          Number of input reads |	9418716
                      Average input read length |	51
                                    UNIQUE READS:
                   Uniquely mapped reads number |	8506707
                        Uniquely mapped reads % |	90.32%
                          Average mapped length |	50.72
                       Number of splices: Total |	60124
            Number of splices: Annotated (sjdb) |	56344
                       Number of splices: GT/AG |	59442
                       Number of splices: GC/AG |	141
                       Number of splices: AT/AC |	6
               Number of splices: Non-canonical |	535
                      Mismatch rate per base, % |	0.36%
                         Deletion rate per base |	0.00%
                        Deletion average length |	1.38
                        Insertion rate per base |	0.00%
                       Insertion average length |	1.05
                             MULTI-MAPPING READS:
        Number of reads mapped to multiple loci |	0
             % of reads mapped to multiple loci |	0.00%
        Number of reads mapped to too many loci |	811598
             % of reads mapped to too many loci |	8.62%
                                  UNMAPPED READS:
       % of reads unmapped: too many mismatches |	0.00%
                 % of reads unmapped: too short |	1.04%
                     % of reads unmapped: other |	0.03%
