                                 Started job on |	Jul 24 18:41:16
                             Started mapping on |	Jul 24 18:41:16
                                    Finished on |	Jul 24 18:41:55
       Mapping speed, Million of reads per hour |	1048.30

                          Number of input reads |	11356564
                      Average input read length |	51
                                    UNIQUE READS:
                   Uniquely mapped reads number |	10046396
                        Uniquely mapped reads % |	88.46%
                          Average mapped length |	50.70
                       Number of splices: Total |	82102
            Number of splices: Annotated (sjdb) |	75630
                       Number of splices: GT/AG |	80810
                       Number of splices: GC/AG |	202
                       Number of splices: AT/AC |	14
               Number of splices: Non-canonical |	1076
                      Mismatch rate per base, % |	0.37%
                         Deletion rate per base |	0.00%
                        Deletion average length |	1.41
                        Insertion rate per base |	0.00%
                       Insertion average length |	1.06
                             MULTI-MAPPING READS:
        Number of reads mapped to multiple loci |	0
             % of reads mapped to multiple loci |	0.00%
        Number of reads mapped to too many loci |	1148940
             % of reads mapped to too many loci |	10.12%
                                  UNMAPPED READS:
       % of reads unmapped: too many mismatches |	0.00%
                 % of reads unmapped: too short |	1.40%
                     % of reads unmapped: other |	0.02%
