                                 Started job on |	Jul 24 18:35:55
                             Started mapping on |	Jul 24 18:35:56
                                    Finished on |	Jul 24 18:36:27
       Mapping speed, Million of reads per hour |	996.57

                          Number of input reads |	8581563
                      Average input read length |	51
                                    UNIQUE READS:
                   Uniquely mapped reads number |	7927525
                        Uniquely mapped reads % |	92.38%
                          Average mapped length |	50.75
                       Number of splices: Total |	43122
            Number of splices: Annotated (sjdb) |	40594
                       Number of splices: GT/AG |	42789
                       Number of splices: GC/AG |	92
                       Number of splices: AT/AC |	1
               Number of splices: Non-canonical |	240
                      Mismatch rate per base, % |	0.37%
                         Deletion rate per base |	0.00%
                        Deletion average length |	1.26
                        Insertion rate per base |	0.00%
                       Insertion average length |	1.05
                             MULTI-MAPPING READS:
        Number of reads mapped to multiple loci |	0
             % of reads mapped to multiple loci |	0.00%
        Number of reads mapped to too many loci |	436888
             % of reads mapped to too many loci |	5.09%
                                  UNMAPPED READS:
       % of reads unmapped: too many mismatches |	0.00%
                 % of reads unmapped: too short |	2.52%
                     % of reads unmapped: other |	0.01%
