                                 Started job on |	Jul 24 18:34:25
                             Started mapping on |	Jul 24 18:34:26
                                    Finished on |	Jul 24 18:35:16
       Mapping speed, Million of reads per hour |	861.59

                          Number of input reads |	11966526
                      Average input read length |	51
                                    UNIQUE READS:
                   Uniquely mapped reads number |	10291040
                        Uniquely mapped reads % |	86.00%
                          Average mapped length |	50.74
                       Number of splices: Total |	127491
            Number of splices: Annotated (sjdb) |	122409
                       Number of splices: GT/AG |	126986
                       Number of splices: GC/AG |	169
                       Number of splices: AT/AC |	2
               Number of splices: Non-canonical |	334
                      Mismatch rate per base, % |	0.36%
                         Deletion rate per base |	0.00%
                        Deletion average length |	1.34
                        Insertion rate per base |	0.00%
                       Insertion average length |	1.06
                             MULTI-MAPPING READS:
        Number of reads mapped to multiple loci |	0
             % of reads mapped to multiple loci |	0.00%
        Number of reads mapped to too many loci |	1188826
             % of reads mapped to too many loci |	9.93%
                                  UNMAPPED READS:
       % of reads unmapped: too many mismatches |	0.00%
                 % of reads unmapped: too short |	4.04%
                     % of reads unmapped: other |	0.02%
