                                 Started job on |	Jul 24 18:54:15
                             Started mapping on |	Jul 24 18:54:15
                                    Finished on |	Jul 24 18:54:56
       Mapping speed, Million of reads per hour |	880.83

                          Number of input reads |	10031724
                      Average input read length |	51
                                    UNIQUE READS:
                   Uniquely mapped reads number |	8658787
                        Uniquely mapped reads % |	86.31%
                          Average mapped length |	50.74
                       Number of splices: Total |	77966
            Number of splices: Annotated (sjdb) |	74611
                       Number of splices: GT/AG |	77507
                       Number of splices: GC/AG |	130
                       Number of splices: AT/AC |	2
               Number of splices: Non-canonical |	327
                      Mismatch rate per base, % |	0.36%
                         Deletion rate per base |	0.00%
                        Deletion average length |	1.35
                        Insertion rate per base |	0.00%
                       Insertion average length |	1.06
                             MULTI-MAPPING READS:
        Number of reads mapped to multiple loci |	0
             % of reads mapped to multiple loci |	0.00%
        Number of reads mapped to too many loci |	1030567
             % of reads mapped to too many loci |	10.27%
                                  UNMAPPED READS:
       % of reads unmapped: too many mismatches |	0.00%
                 % of reads unmapped: too short |	3.39%
                     % of reads unmapped: other |	0.02%
