                                 Started job on |	Jul 24 18:37:47
                             Started mapping on |	Jul 24 18:37:48
                                    Finished on |	Jul 24 18:38:25
       Mapping speed, Million of reads per hour |	1040.99

                          Number of input reads |	10699027
                      Average input read length |	51
                                    UNIQUE READS:
                   Uniquely mapped reads number |	9556848
                        Uniquely mapped reads % |	89.32%
                          Average mapped length |	50.73
                       Number of splices: Total |	80048
            Number of splices: Annotated (sjdb) |	75877
                       Number of splices: GT/AG |	79391
                       Number of splices: GC/AG |	157
                       Number of splices: AT/AC |	11
               Number of splices: Non-canonical |	489
                      Mismatch rate per base, % |	0.37%
                         Deletion rate per base |	0.00%
                        Deletion average length |	1.39
                        Insertion rate per base |	0.00%
                       Insertion average length |	1.04
                             MULTI-MAPPING READS:
        Number of reads mapped to multiple loci |	0
             % of reads mapped to multiple loci |	0.00%
        Number of reads mapped to too many loci |	902198
             % of reads mapped to too many loci |	8.43%
                                  UNMAPPED READS:
       % of reads unmapped: too many mismatches |	0.00%
                 % of reads unmapped: too short |	2.22%
                     % of reads unmapped: other |	0.03%
