                                 Started job on |	Jul 24 18:40:30
                             Started mapping on |	Jul 24 18:40:30
                                    Finished on |	Jul 24 18:41:14
       Mapping speed, Million of reads per hour |	887.62

                          Number of input reads |	10848708
                      Average input read length |	51
                                    UNIQUE READS:
                   Uniquely mapped reads number |	9427871
                        Uniquely mapped reads % |	86.90%
                          Average mapped length |	50.74
                       Number of splices: Total |	85527
            Number of splices: Annotated (sjdb) |	82138
                       Number of splices: GT/AG |	85099
                       Number of splices: GC/AG |	131
                       Number of splices: AT/AC |	1
               Number of splices: Non-canonical |	296
                      Mismatch rate per base, % |	0.36%
                         Deletion rate per base |	0.00%
                        Deletion average length |	1.34
                        Insertion rate per base |	0.00%
                       Insertion average length |	1.05
                             MULTI-MAPPING READS:
        Number of reads mapped to multiple loci |	0
             % of reads mapped to multiple loci |	0.00%
        Number of reads mapped to too many loci |	1067802
             % of reads mapped to too many loci |	9.84%
                                  UNMAPPED READS:
       % of reads unmapped: too many mismatches |	0.00%
                 % of reads unmapped: too short |	3.23%
                     % of reads unmapped: other |	0.03%
