                                 Started job on |	Jul 24 18:42:30
                             Started mapping on |	Jul 24 18:42:30
                                    Finished on |	Jul 24 18:43:01
       Mapping speed, Million of reads per hour |	1026.59

                          Number of input reads |	8840109
                      Average input read length |	51
                                    UNIQUE READS:
                   Uniquely mapped reads number |	7938685
                        Uniquely mapped reads % |	89.80%
                          Average mapped length |	50.71
                       Number of splices: Total |	66908
            Number of splices: Annotated (sjdb) |	62049
                       Number of splices: GT/AG |	65993
                       Number of splices: GC/AG |	209
                       Number of splices: AT/AC |	6
               Number of splices: Non-canonical |	700
                      Mismatch rate per base, % |	0.37%
                         Deletion rate per base |	0.00%
                        Deletion average length |	1.36
                        Insertion rate per base |	0.00%
                       Insertion average length |	1.06
                             MULTI-MAPPING READS:
        Number of reads mapped to multiple loci |	0
             % of reads mapped to multiple loci |	0.00%
        Number of reads mapped to too many loci |	783422
             % of reads mapped to too many loci |	8.86%
                                  UNMAPPED READS:
       % of reads unmapped: too many mismatches |	0.00%
                 % of reads unmapped: too short |	1.31%
                     % of reads unmapped: other |	0.03%
