                                 Started job on |	Jul 24 18:43:55
                             Started mapping on |	Jul 24 18:43:56
                                    Finished on |	Jul 24 18:44:27
       Mapping speed, Million of reads per hour |	1161.95

                          Number of input reads |	10005692
                      Average input read length |	51
                                    UNIQUE READS:
                   Uniquely mapped reads number |	8647057
                        Uniquely mapped reads % |	86.42%
                          Average mapped length |	50.73
                       Number of splices: Total |	75768
            Number of splices: Annotated (sjdb) |	72206
                       Number of splices: GT/AG |	74780
                       Number of splices: GC/AG |	162
                       Number of splices: AT/AC |	16
               Number of splices: Non-canonical |	810
                      Mismatch rate per base, % |	0.37%
                         Deletion rate per base |	0.00%
                        Deletion average length |	1.38
                        Insertion rate per base |	0.00%
                       Insertion average length |	1.04
                             MULTI-MAPPING READS:
        Number of reads mapped to multiple loci |	0
             % of reads mapped to multiple loci |	0.00%
        Number of reads mapped to too many loci |	1240300
             % of reads mapped to too many loci |	12.40%
                                  UNMAPPED READS:
       % of reads unmapped: too many mismatches |	0.00%
                 % of reads unmapped: too short |	1.16%
                     % of reads unmapped: other |	0.02%
