                                 Started job on |	Jul 24 18:45:16
                             Started mapping on |	Jul 24 18:45:17
                                    Finished on |	Jul 24 18:45:47
       Mapping speed, Million of reads per hour |	946.62

                          Number of input reads |	7888497
                      Average input read length |	51
                                    UNIQUE READS:
                   Uniquely mapped reads number |	6966817
                        Uniquely mapped reads % |	88.32%
                          Average mapped length |	50.71
                       Number of splices: Total |	52019
            Number of splices: Annotated (sjdb) |	48818
                       Number of splices: GT/AG |	51434
                       Number of splices: GC/AG |	110
                       Number of splices: AT/AC |	3
               Number of splices: Non-canonical |	472
                      Mismatch rate per base, % |	0.37%
                         Deletion rate per base |	0.00%
                        Deletion average length |	1.38
                        Insertion rate per base |	0.00%
                       Insertion average length |	1.04
                             MULTI-MAPPING READS:
        Number of reads mapped to multiple loci |	0
             % of reads mapped to multiple loci |	0.00%
        Number of reads mapped to too many loci |	760286
             % of reads mapped to too many loci |	9.64%
                                  UNMAPPED READS:
       % of reads unmapped: too many mismatches |	0.00%
                 % of reads unmapped: too short |	2.02%
                     % of reads unmapped: other |	0.03%
