                                 Started job on |	Jul 24 18:41:56
                             Started mapping on |	Jul 24 18:41:57
                                    Finished on |	Jul 24 18:42:29
       Mapping speed, Million of reads per hour |	913.08

                          Number of input reads |	8116283
                      Average input read length |	51
                                    UNIQUE READS:
                   Uniquely mapped reads number |	7150586
                        Uniquely mapped reads % |	88.10%
                          Average mapped length |	50.71
                       Number of splices: Total |	74197
            Number of splices: Annotated (sjdb) |	70319
                       Number of splices: GT/AG |	73579
                       Number of splices: GC/AG |	131
                       Number of splices: AT/AC |	7
               Number of splices: Non-canonical |	480
                      Mismatch rate per base, % |	0.38%
                         Deletion rate per base |	0.00%
                        Deletion average length |	1.45
                        Insertion rate per base |	0.00%
                       Insertion average length |	1.05
                             MULTI-MAPPING READS:
        Number of reads mapped to multiple loci |	0
             % of reads mapped to multiple loci |	0.00%
        Number of reads mapped to too many loci |	739064
             % of reads mapped to too many loci |	9.11%
                                  UNMAPPED READS:
       % of reads unmapped: too many mismatches |	0.00%
                 % of reads unmapped: too short |	2.76%
                     % of reads unmapped: other |	0.03%
