                                 Started job on |	Jul 24 18:48:19
                             Started mapping on |	Jul 24 18:48:19
                                    Finished on |	Jul 24 18:49:01
       Mapping speed, Million of reads per hour |	963.68

                          Number of input reads |	11242905
                      Average input read length |	51
                                    UNIQUE READS:
                   Uniquely mapped reads number |	10026024
                        Uniquely mapped reads % |	89.18%
                          Average mapped length |	50.70
                       Number of splices: Total |	89500
            Number of splices: Annotated (sjdb) |	84575
                       Number of splices: GT/AG |	88666
                       Number of splices: GC/AG |	174
                       Number of splices: AT/AC |	6
               Number of splices: Non-canonical |	654
                      Mismatch rate per base, % |	0.37%
                         Deletion rate per base |	0.00%
                        Deletion average length |	1.39
                        Insertion rate per base |	0.00%
                       Insertion average length |	1.05
                             MULTI-MAPPING READS:
        Number of reads mapped to multiple loci |	0
             % of reads mapped to multiple loci |	0.00%
        Number of reads mapped to too many loci |	914927
             % of reads mapped to too many loci |	8.14%
                                  UNMAPPED READS:
       % of reads unmapped: too many mismatches |	0.00%
                 % of reads unmapped: too short |	2.66%
                     % of reads unmapped: other |	0.03%
