                                 Started job on |	Jul 24 18:30:33
                             Started mapping on |	Jul 24 18:30:33
                                    Finished on |	Jul 24 18:31:12
       Mapping speed, Million of reads per hour |	943.15

                          Number of input reads |	10217469
                      Average input read length |	51
                                    UNIQUE READS:
                   Uniquely mapped reads number |	9499466
                        Uniquely mapped reads % |	92.97%
                          Average mapped length |	50.77
                       Number of splices: Total |	52980
            Number of splices: Annotated (sjdb) |	50494
                       Number of splices: GT/AG |	52587
                       Number of splices: GC/AG |	79
                       Number of splices: AT/AC |	6
               Number of splices: Non-canonical |	308
                      Mismatch rate per base, % |	0.36%
                         Deletion rate per base |	0.00%
                        Deletion average length |	1.29
                        Insertion rate per base |	0.00%
                       Insertion average length |	1.06
                             MULTI-MAPPING READS:
        Number of reads mapped to multiple loci |	0
             % of reads mapped to multiple loci |	0.00%
        Number of reads mapped to too many loci |	530051
             % of reads mapped to too many loci |	5.19%
                                  UNMAPPED READS:
       % of reads unmapped: too many mismatches |	0.00%
                 % of reads unmapped: too short |	1.83%
                     % of reads unmapped: other |	0.01%
