                                 Started job on |	Jul 24 18:33:05
                             Started mapping on |	Jul 24 18:33:06
                                    Finished on |	Jul 24 18:33:50
       Mapping speed, Million of reads per hour |	966.13

                          Number of input reads |	11808218
                      Average input read length |	51
                                    UNIQUE READS:
                   Uniquely mapped reads number |	10509857
                        Uniquely mapped reads % |	89.00%
                          Average mapped length |	50.74
                       Number of splices: Total |	126752
            Number of splices: Annotated (sjdb) |	121386
                       Number of splices: GT/AG |	126233
                       Number of splices: GC/AG |	186
                       Number of splices: AT/AC |	4
               Number of splices: Non-canonical |	329
                      Mismatch rate per base, % |	0.36%
                         Deletion rate per base |	0.00%
                        Deletion average length |	1.33
                        Insertion rate per base |	0.00%
                       Insertion average length |	1.07
                             MULTI-MAPPING READS:
        Number of reads mapped to multiple loci |	0
             % of reads mapped to multiple loci |	0.00%
        Number of reads mapped to too many loci |	983655
             % of reads mapped to too many loci |	8.33%
                                  UNMAPPED READS:
       % of reads unmapped: too many mismatches |	0.00%
                 % of reads unmapped: too short |	2.65%
                     % of reads unmapped: other |	0.02%
