                                 Started job on |	Jul 24 17:59:56
                             Started mapping on |	Jul 24 17:59:57
                                    Finished on |	Jul 24 18:00:34
       Mapping speed, Million of reads per hour |	913.36

                          Number of input reads |	9387357
                      Average input read length |	51
                                    UNIQUE READS:
                   Uniquely mapped reads number |	8184115
                        Uniquely mapped reads % |	87.18%
                          Average mapped length |	50.71
                       Number of splices: Total |	80326
            Number of splices: Annotated (sjdb) |	75700
                       Number of splices: GT/AG |	79431
                       Number of splices: GC/AG |	168
                       Number of splices: AT/AC |	7
               Number of splices: Non-canonical |	720
                      Mismatch rate per base, % |	0.36%
                         Deletion rate per base |	0.00%
                        Deletion average length |	1.37
                        Insertion rate per base |	0.00%
                       Insertion average length |	1.04
                             MULTI-MAPPING READS:
        Number of reads mapped to multiple loci |	0
             % of reads mapped to multiple loci |	0.00%
        Number of reads mapped to too many loci |	1024851
             % of reads mapped to too many loci |	10.92%
                                  UNMAPPED READS:
       % of reads unmapped: too many mismatches |	0.00%
                 % of reads unmapped: too short |	1.86%
                     % of reads unmapped: other |	0.04%
