                                 Started job on |	Jul 24 18:45:47
                             Started mapping on |	Jul 24 18:45:48
                                    Finished on |	Jul 24 18:46:25
       Mapping speed, Million of reads per hour |	932.34

                          Number of input reads |	9582423
                      Average input read length |	51
                                    UNIQUE READS:
                   Uniquely mapped reads number |	8046401
                        Uniquely mapped reads % |	83.97%
                          Average mapped length |	50.72
                       Number of splices: Total |	72392
            Number of splices: Annotated (sjdb) |	68433
                       Number of splices: GT/AG |	71396
                       Number of splices: GC/AG |	161
                       Number of splices: AT/AC |	16
               Number of splices: Non-canonical |	819
                      Mismatch rate per base, % |	0.36%
                         Deletion rate per base |	0.00%
                        Deletion average length |	1.38
                        Insertion rate per base |	0.00%
                       Insertion average length |	1.05
                             MULTI-MAPPING READS:
        Number of reads mapped to multiple loci |	0
             % of reads mapped to multiple loci |	0.00%
        Number of reads mapped to too many loci |	1277376
             % of reads mapped to too many loci |	13.33%
                                  UNMAPPED READS:
       % of reads unmapped: too many mismatches |	0.00%
                 % of reads unmapped: too short |	2.67%
                     % of reads unmapped: other |	0.03%
