                                 Started job on |	Jul 24 18:37:08
                             Started mapping on |	Jul 24 18:37:09
                                    Finished on |	Jul 24 18:37:47
       Mapping speed, Million of reads per hour |	936.96

                          Number of input reads |	9890172
                      Average input read length |	51
                                    UNIQUE READS:
                   Uniquely mapped reads number |	8651646
                        Uniquely mapped reads % |	87.48%
                          Average mapped length |	50.73
                       Number of splices: Total |	100051
            Number of splices: Annotated (sjdb) |	96141
                       Number of splices: GT/AG |	99407
                       Number of splices: GC/AG |	145
                       Number of splices: AT/AC |	12
               Number of splices: Non-canonical |	487
                      Mismatch rate per base, % |	0.36%
                         Deletion rate per base |	0.00%
                        Deletion average length |	1.36
                        Insertion rate per base |	0.00%
                       Insertion average length |	1.04
                             MULTI-MAPPING READS:
        Number of reads mapped to multiple loci |	0
             % of reads mapped to multiple loci |	0.00%
        Number of reads mapped to too many loci |	995360
             % of reads mapped to too many loci |	10.06%
                                  UNMAPPED READS:
       % of reads unmapped: too many mismatches |	0.00%
                 % of reads unmapped: too short |	2.44%
                     % of reads unmapped: other |	0.02%
