                                 Started job on |	Jul 24 18:35:17
                             Started mapping on |	Jul 24 18:35:18
                                    Finished on |	Jul 24 18:35:55
       Mapping speed, Million of reads per hour |	867.94

                          Number of input reads |	8920524
                      Average input read length |	51
                                    UNIQUE READS:
                   Uniquely mapped reads number |	7847371
                        Uniquely mapped reads % |	87.97%
                          Average mapped length |	50.73
                       Number of splices: Total |	80115
            Number of splices: Annotated (sjdb) |	76411
                       Number of splices: GT/AG |	79646
                       Number of splices: GC/AG |	133
                       Number of splices: AT/AC |	10
               Number of splices: Non-canonical |	326
                      Mismatch rate per base, % |	0.36%
                         Deletion rate per base |	0.00%
                        Deletion average length |	1.35
                        Insertion rate per base |	0.00%
                       Insertion average length |	1.06
                             MULTI-MAPPING READS:
        Number of reads mapped to multiple loci |	0
             % of reads mapped to multiple loci |	0.00%
        Number of reads mapped to too many loci |	794433
             % of reads mapped to too many loci |	8.91%
                                  UNMAPPED READS:
       % of reads unmapped: too many mismatches |	0.00%
                 % of reads unmapped: too short |	3.09%
                     % of reads unmapped: other |	0.03%
