                                 Started job on |	Jul 24 18:58:28
                             Started mapping on |	Jul 24 18:58:29
                                    Finished on |	Jul 24 18:59:07
       Mapping speed, Million of reads per hour |	990.11

                          Number of input reads |	10451120
                      Average input read length |	51
                                    UNIQUE READS:
                   Uniquely mapped reads number |	9355324
                        Uniquely mapped reads % |	89.52%
                          Average mapped length |	50.71
                       Number of splices: Total |	69673
            Number of splices: Annotated (sjdb) |	65491
                       Number of splices: GT/AG |	69004
                       Number of splices: GC/AG |	118
                       Number of splices: AT/AC |	8
               Number of splices: Non-canonical |	543
                      Mismatch rate per base, % |	0.36%
                         Deletion rate per base |	0.00%
                        Deletion average length |	1.38
                        Insertion rate per base |	0.00%
                       Insertion average length |	1.05
                             MULTI-MAPPING READS:
        Number of reads mapped to multiple loci |	0
             % of reads mapped to multiple loci |	0.00%
        Number of reads mapped to too many loci |	852591
             % of reads mapped to too many loci |	8.16%
                                  UNMAPPED READS:
       % of reads unmapped: too many mismatches |	0.00%
                 % of reads unmapped: too short |	2.30%
                     % of reads unmapped: other |	0.03%
