                                 Started job on |	Jul 24 18:29:09
                             Started mapping on |	Jul 24 18:29:09
                                    Finished on |	Jul 24 18:29:56
       Mapping speed, Million of reads per hour |	974.89

                          Number of input reads |	12727730
                      Average input read length |	51
                                    UNIQUE READS:
                   Uniquely mapped reads number |	11294986
                        Uniquely mapped reads % |	88.74%
                          Average mapped length |	50.73
                       Number of splices: Total |	88216
            Number of splices: Annotated (sjdb) |	83871
                       Number of splices: GT/AG |	87577
                       Number of splices: GC/AG |	194
                       Number of splices: AT/AC |	5
               Number of splices: Non-canonical |	440
                      Mismatch rate per base, % |	0.36%
                         Deletion rate per base |	0.00%
                        Deletion average length |	1.34
                        Insertion rate per base |	0.00%
                       Insertion average length |	1.06
                             MULTI-MAPPING READS:
        Number of reads mapped to multiple loci |	0
             % of reads mapped to multiple loci |	0.00%
        Number of reads mapped to too many loci |	1092208
             % of reads mapped to too many loci |	8.58%
                                  UNMAPPED READS:
       % of reads unmapped: too many mismatches |	0.00%
                 % of reads unmapped: too short |	2.65%
                     % of reads unmapped: other |	0.03%
