                                 Started job on |	Jul 24 18:52:29
                             Started mapping on |	Jul 24 18:52:30
                                    Finished on |	Jul 24 18:53:08
       Mapping speed, Million of reads per hour |	934.47

                          Number of input reads |	9863848
                      Average input read length |	51
                                    UNIQUE READS:
                   Uniquely mapped reads number |	8721766
                        Uniquely mapped reads % |	88.42%
                          Average mapped length |	50.75
                       Number of splices: Total |	113798
            Number of splices: Annotated (sjdb) |	109352
                       Number of splices: GT/AG |	113341
                       Number of splices: GC/AG |	142
                       Number of splices: AT/AC |	5
               Number of splices: Non-canonical |	310
                      Mismatch rate per base, % |	0.36%
                         Deletion rate per base |	0.00%
                        Deletion average length |	1.32
                        Insertion rate per base |	0.00%
                       Insertion average length |	1.06
                             MULTI-MAPPING READS:
        Number of reads mapped to multiple loci |	0
             % of reads mapped to multiple loci |	0.00%
        Number of reads mapped to too many loci |	874276
             % of reads mapped to too many loci |	8.86%
                                  UNMAPPED READS:
       % of reads unmapped: too many mismatches |	0.00%
                 % of reads unmapped: too short |	2.69%
                     % of reads unmapped: other |	0.02%
