                                 Started job on |	Jul 24 18:46:25
                             Started mapping on |	Jul 24 18:46:26
                                    Finished on |	Jul 24 18:47:01
       Mapping speed, Million of reads per hour |	965.33

                          Number of input reads |	9385135
                      Average input read length |	51
                                    UNIQUE READS:
                   Uniquely mapped reads number |	8353351
                        Uniquely mapped reads % |	89.01%
                          Average mapped length |	50.71
                       Number of splices: Total |	70497
            Number of splices: Annotated (sjdb) |	66729
                       Number of splices: GT/AG |	69910
                       Number of splices: GC/AG |	157
                       Number of splices: AT/AC |	7
               Number of splices: Non-canonical |	423
                      Mismatch rate per base, % |	0.37%
                         Deletion rate per base |	0.00%
                        Deletion average length |	1.36
                        Insertion rate per base |	0.00%
                       Insertion average length |	1.06
                             MULTI-MAPPING READS:
        Number of reads mapped to multiple loci |	0
             % of reads mapped to multiple loci |	0.00%
        Number of reads mapped to too many loci |	785514
             % of reads mapped to too many loci |	8.37%
                                  UNMAPPED READS:
       % of reads unmapped: too many mismatches |	0.00%
                 % of reads unmapped: too short |	2.59%
                     % of reads unmapped: other |	0.03%
