                                 Started job on |	Jul 24 18:57:12
                             Started mapping on |	Jul 24 18:57:13
                                    Finished on |	Jul 24 18:57:49
       Mapping speed, Million of reads per hour |	1051.07

                          Number of input reads |	10510668
                      Average input read length |	51
                                    UNIQUE READS:
                   Uniquely mapped reads number |	9513191
                        Uniquely mapped reads % |	90.51%
                          Average mapped length |	50.71
                       Number of splices: Total |	68728
            Number of splices: Annotated (sjdb) |	64679
                       Number of splices: GT/AG |	67868
                       Number of splices: GC/AG |	202
                       Number of splices: AT/AC |	7
               Number of splices: Non-canonical |	651
                      Mismatch rate per base, % |	0.37%
                         Deletion rate per base |	0.00%
                        Deletion average length |	1.38
                        Insertion rate per base |	0.00%
                       Insertion average length |	1.05
                             MULTI-MAPPING READS:
        Number of reads mapped to multiple loci |	0
             % of reads mapped to multiple loci |	0.00%
        Number of reads mapped to too many loci |	886126
             % of reads mapped to too many loci |	8.43%
                                  UNMAPPED READS:
       % of reads unmapped: too many mismatches |	0.00%
                 % of reads unmapped: too short |	1.03%
                     % of reads unmapped: other |	0.03%
