                                 Started job on |	Jul 24 18:39:16
                             Started mapping on |	Jul 24 18:39:17
                                    Finished on |	Jul 24 18:39:56
       Mapping speed, Million of reads per hour |	930.11

                          Number of input reads |	10076140
                      Average input read length |	51
                                    UNIQUE READS:
                   Uniquely mapped reads number |	8790742
                        Uniquely mapped reads % |	87.24%
                          Average mapped length |	50.72
                       Number of splices: Total |	61751
            Number of splices: Annotated (sjdb) |	57779
                       Number of splices: GT/AG |	60960
                       Number of splices: GC/AG |	154
                       Number of splices: AT/AC |	11
               Number of splices: Non-canonical |	626
                      Mismatch rate per base, % |	0.36%
                         Deletion rate per base |	0.00%
                        Deletion average length |	1.37
                        Insertion rate per base |	0.00%
                       Insertion average length |	1.05
                             MULTI-MAPPING READS:
        Number of reads mapped to multiple loci |	0
             % of reads mapped to multiple loci |	0.00%
        Number of reads mapped to too many loci |	1014632
             % of reads mapped to too many loci |	10.07%
                                  UNMAPPED READS:
       % of reads unmapped: too many mismatches |	0.00%
                 % of reads unmapped: too short |	2.66%
                     % of reads unmapped: other |	0.02%
