                                 Started job on |	Jul 24 18:53:09
                             Started mapping on |	Jul 24 18:53:10
                                    Finished on |	Jul 24 18:54:14
       Mapping speed, Million of reads per hour |	1011.31

                          Number of input reads |	17978896
                      Average input read length |	51
                                    UNIQUE READS:
                   Uniquely mapped reads number |	15904259
                        Uniquely mapped reads % |	88.46%
                          Average mapped length |	50.73
                       Number of splices: Total |	123275
            Number of splices: Annotated (sjdb) |	117944
                       Number of splices: GT/AG |	122480
                       Number of splices: GC/AG |	187
                       Number of splices: AT/AC |	14
               Number of splices: Non-canonical |	594
                      Mismatch rate per base, % |	0.37%
                         Deletion rate per base |	0.00%
                        Deletion average length |	1.34
                        Insertion rate per base |	0.00%
                       Insertion average length |	1.05
                             MULTI-MAPPING READS:
        Number of reads mapped to multiple loci |	0
             % of reads mapped to multiple loci |	0.00%
        Number of reads mapped to too many loci |	1618561
             % of reads mapped to too many loci |	9.00%
                                  UNMAPPED READS:
       % of reads unmapped: too many mismatches |	0.00%
                 % of reads unmapped: too short |	2.51%
                     % of reads unmapped: other |	0.03%
