                                 Started job on |	Jul 24 18:54:57
                             Started mapping on |	Jul 24 18:54:58
                                    Finished on |	Jul 24 18:55:45
       Mapping speed, Million of reads per hour |	908.46

                          Number of input reads |	11860491
                      Average input read length |	51
                                    UNIQUE READS:
                   Uniquely mapped reads number |	10381197
                        Uniquely mapped reads % |	87.53%
                          Average mapped length |	50.72
                       Number of splices: Total |	93909
            Number of splices: Annotated (sjdb) |	89484
                       Number of splices: GT/AG |	93119
                       Number of splices: GC/AG |	194
                       Number of splices: AT/AC |	13
               Number of splices: Non-canonical |	583
                      Mismatch rate per base, % |	0.37%
                         Deletion rate per base |	0.00%
                        Deletion average length |	1.37
                        Insertion rate per base |	0.00%
                       Insertion average length |	1.04
                             MULTI-MAPPING READS:
        Number of reads mapped to multiple loci |	0
             % of reads mapped to multiple loci |	0.00%
        Number of reads mapped to too many loci |	1142878
             % of reads mapped to too many loci |	9.64%
                                  UNMAPPED READS:
       % of reads unmapped: too many mismatches |	0.00%
                 % of reads unmapped: too short |	2.81%
                     % of reads unmapped: other |	0.02%
