                                 Started job on |	Jul 24 18:47:38
                             Started mapping on |	Jul 24 18:47:38
                                    Finished on |	Jul 24 18:48:18
       Mapping speed, Million of reads per hour |	810.98

                          Number of input reads |	9010900
                      Average input read length |	51
                                    UNIQUE READS:
                   Uniquely mapped reads number |	7825937
                        Uniquely mapped reads % |	86.85%
                          Average mapped length |	50.72
                       Number of splices: Total |	74133
            Number of splices: Annotated (sjdb) |	70871
                       Number of splices: GT/AG |	73456
                       Number of splices: GC/AG |	142
                       Number of splices: AT/AC |	4
               Number of splices: Non-canonical |	531
                      Mismatch rate per base, % |	0.37%
                         Deletion rate per base |	0.00%
                        Deletion average length |	1.47
                        Insertion rate per base |	0.00%
                       Insertion average length |	1.04
                             MULTI-MAPPING READS:
        Number of reads mapped to multiple loci |	0
             % of reads mapped to multiple loci |	0.00%
        Number of reads mapped to too many loci |	896672
             % of reads mapped to too many loci |	9.95%
                                  UNMAPPED READS:
       % of reads unmapped: too many mismatches |	0.00%
                 % of reads unmapped: too short |	3.18%
                     % of reads unmapped: other |	0.02%
