                                 Started job on |	Jul 24 18:59:08
                             Started mapping on |	Jul 24 18:59:09
                                    Finished on |	Jul 24 18:59:48
       Mapping speed, Million of reads per hour |	978.68

                          Number of input reads |	10602401
                      Average input read length |	51
                                    UNIQUE READS:
                   Uniquely mapped reads number |	9443000
                        Uniquely mapped reads % |	89.06%
                          Average mapped length |	50.71
                       Number of splices: Total |	76154
            Number of splices: Annotated (sjdb) |	71981
                       Number of splices: GT/AG |	75531
                       Number of splices: GC/AG |	138
                       Number of splices: AT/AC |	4
               Number of splices: Non-canonical |	481
                      Mismatch rate per base, % |	0.37%
                         Deletion rate per base |	0.00%
                        Deletion average length |	1.36
                        Insertion rate per base |	0.00%
                       Insertion average length |	1.05
                             MULTI-MAPPING READS:
        Number of reads mapped to multiple loci |	0
             % of reads mapped to multiple loci |	0.00%
        Number of reads mapped to too many loci |	856736
             % of reads mapped to too many loci |	8.08%
                                  UNMAPPED READS:
       % of reads unmapped: too many mismatches |	0.00%
                 % of reads unmapped: too short |	2.82%
                     % of reads unmapped: other |	0.03%
