                                 Started job on |	Jul 24 18:59:49
                             Started mapping on |	Jul 24 18:59:50
                                    Finished on |	Jul 24 19:00:25
       Mapping speed, Million of reads per hour |	910.28

                          Number of input reads |	8849990
                      Average input read length |	51
                                    UNIQUE READS:
                   Uniquely mapped reads number |	7876436
                        Uniquely mapped reads % |	89.00%
                          Average mapped length |	50.69
                       Number of splices: Total |	70227
            Number of splices: Annotated (sjdb) |	66068
                       Number of splices: GT/AG |	69489
                       Number of splices: GC/AG |	156
                       Number of splices: AT/AC |	12
               Number of splices: Non-canonical |	570
                      Mismatch rate per base, % |	0.38%
                         Deletion rate per base |	0.00%
                        Deletion average length |	1.40
                        Insertion rate per base |	0.00%
                       Insertion average length |	1.05
                             MULTI-MAPPING READS:
        Number of reads mapped to multiple loci |	0
             % of reads mapped to multiple loci |	0.00%
        Number of reads mapped to too many loci |	717885
             % of reads mapped to too many loci |	8.11%
                                  UNMAPPED READS:
       % of reads unmapped: too many mismatches |	0.00%
                 % of reads unmapped: too short |	2.86%
                     % of reads unmapped: other |	0.03%
