                                 Started job on |	Jul 24 18:33:52
                             Started mapping on |	Jul 24 18:33:53
                                    Finished on |	Jul 24 18:34:24
       Mapping speed, Million of reads per hour |	1160.89

                          Number of input reads |	9996511
                      Average input read length |	51
                                    UNIQUE READS:
                   Uniquely mapped reads number |	8547867
                        Uniquely mapped reads % |	85.51%
                          Average mapped length |	50.71
                       Number of splices: Total |	61062
            Number of splices: Annotated (sjdb) |	56475
                       Number of splices: GT/AG |	59729
                       Number of splices: GC/AG |	177
                       Number of splices: AT/AC |	10
               Number of splices: Non-canonical |	1146
                      Mismatch rate per base, % |	0.37%
                         Deletion rate per base |	0.00%
                        Deletion average length |	1.40
                        Insertion rate per base |	0.00%
                       Insertion average length |	1.05
                             MULTI-MAPPING READS:
        Number of reads mapped to multiple loci |	0
             % of reads mapped to multiple loci |	0.00%
        Number of reads mapped to too many loci |	1325678
             % of reads mapped to too many loci |	13.26%
                                  UNMAPPED READS:
       % of reads unmapped: too many mismatches |	0.00%
                 % of reads unmapped: too short |	1.21%
                     % of reads unmapped: other |	0.02%
