                                 Started job on |	Jul 24 18:49:04
                             Started mapping on |	Jul 24 18:49:05
                                    Finished on |	Jul 24 18:49:50
       Mapping speed, Million of reads per hour |	1120.24

                          Number of input reads |	14003045
                      Average input read length |	51
                                    UNIQUE READS:
                   Uniquely mapped reads number |	12499631
                        Uniquely mapped reads % |	89.26%
                          Average mapped length |	50.71
                       Number of splices: Total |	98162
            Number of splices: Annotated (sjdb) |	91952
                       Number of splices: GT/AG |	97083
                       Number of splices: GC/AG |	189
                       Number of splices: AT/AC |	9
               Number of splices: Non-canonical |	881
                      Mismatch rate per base, % |	0.37%
                         Deletion rate per base |	0.00%
                        Deletion average length |	1.36
                        Insertion rate per base |	0.00%
                       Insertion average length |	1.05
                             MULTI-MAPPING READS:
        Number of reads mapped to multiple loci |	0
             % of reads mapped to multiple loci |	0.00%
        Number of reads mapped to too many loci |	1363113
             % of reads mapped to too many loci |	9.73%
                                  UNMAPPED READS:
       % of reads unmapped: too many mismatches |	0.00%
                 % of reads unmapped: too short |	0.97%
                     % of reads unmapped: other |	0.03%
