                                 Started job on |	Jul 24 18:47:02
                             Started mapping on |	Jul 24 18:47:02
                                    Finished on |	Jul 24 18:47:37
       Mapping speed, Million of reads per hour |	926.55

                          Number of input reads |	9008124
                      Average input read length |	51
                                    UNIQUE READS:
                   Uniquely mapped reads number |	7587816
                        Uniquely mapped reads % |	84.23%
                          Average mapped length |	50.74
                       Number of splices: Total |	74872
            Number of splices: Annotated (sjdb) |	71475
                       Number of splices: GT/AG |	74315
                       Number of splices: GC/AG |	131
                       Number of splices: AT/AC |	6
               Number of splices: Non-canonical |	420
                      Mismatch rate per base, % |	0.36%
                         Deletion rate per base |	0.00%
                        Deletion average length |	1.33
                        Insertion rate per base |	0.00%
                       Insertion average length |	1.06
                             MULTI-MAPPING READS:
        Number of reads mapped to multiple loci |	0
             % of reads mapped to multiple loci |	0.00%
        Number of reads mapped to too many loci |	1134094
             % of reads mapped to too many loci |	12.59%
                                  UNMAPPED READS:
       % of reads unmapped: too many mismatches |	0.00%
                 % of reads unmapped: too short |	3.15%
                     % of reads unmapped: other |	0.03%
