                                 Started job on |	Jul 24 18:27:06
                             Started mapping on |	Jul 24 18:27:07
                                    Finished on |	Jul 24 18:27:49
       Mapping speed, Million of reads per hour |	1038.94

                          Number of input reads |	12121025
                      Average input read length |	51
                                    UNIQUE READS:
                   Uniquely mapped reads number |	10850859
                        Uniquely mapped reads % |	89.52%
                          Average mapped length |	50.72
                       Number of splices: Total |	85959
            Number of splices: Annotated (sjdb) |	81838
                       Number of splices: GT/AG |	85286
                       Number of splices: GC/AG |	180
                       Number of splices: AT/AC |	8
               Number of splices: Non-canonical |	485
                      Mismatch rate per base, % |	0.36%
                         Deletion rate per base |	0.00%
                        Deletion average length |	1.36
                        Insertion rate per base |	0.00%
                       Insertion average length |	1.05
                             MULTI-MAPPING READS:
        Number of reads mapped to multiple loci |	0
             % of reads mapped to multiple loci |	0.00%
        Number of reads mapped to too many loci |	1013681
             % of reads mapped to too many loci |	8.36%
                                  UNMAPPED READS:
       % of reads unmapped: too many mismatches |	0.00%
                 % of reads unmapped: too short |	2.09%
                     % of reads unmapped: other |	0.03%
