                                 Started job on |	Jul 24 18:31:13
                             Started mapping on |	Jul 24 18:31:13
                                    Finished on |	Jul 24 18:32:11
       Mapping speed, Million of reads per hour |	936.27

                          Number of input reads |	15084420
                      Average input read length |	51
                                    UNIQUE READS:
                   Uniquely mapped reads number |	13296129
                        Uniquely mapped reads % |	88.14%
                          Average mapped length |	50.71
                       Number of splices: Total |	90636
            Number of splices: Annotated (sjdb) |	84111
                       Number of splices: GT/AG |	89502
                       Number of splices: GC/AG |	210
                       Number of splices: AT/AC |	6
               Number of splices: Non-canonical |	918
                      Mismatch rate per base, % |	0.37%
                         Deletion rate per base |	0.00%
                        Deletion average length |	1.37
                        Insertion rate per base |	0.00%
                       Insertion average length |	1.05
                             MULTI-MAPPING READS:
        Number of reads mapped to multiple loci |	0
             % of reads mapped to multiple loci |	0.00%
        Number of reads mapped to too many loci |	1274861
             % of reads mapped to too many loci |	8.45%
                                  UNMAPPED READS:
       % of reads unmapped: too many mismatches |	0.00%
                 % of reads unmapped: too short |	3.38%
                     % of reads unmapped: other |	0.03%
