                                 Started job on |	Jul 24 18:43:02
                             Started mapping on |	Jul 24 18:43:02
                                    Finished on |	Jul 24 18:43:55
       Mapping speed, Million of reads per hour |	1178.18

                          Number of input reads |	17345501
                      Average input read length |	51
                                    UNIQUE READS:
                   Uniquely mapped reads number |	14509771
                        Uniquely mapped reads % |	83.65%
                          Average mapped length |	50.71
                       Number of splices: Total |	102932
            Number of splices: Annotated (sjdb) |	92875
                       Number of splices: GT/AG |	98790
                       Number of splices: GC/AG |	344
                       Number of splices: AT/AC |	45
               Number of splices: Non-canonical |	3753
                      Mismatch rate per base, % |	0.37%
                         Deletion rate per base |	0.00%
                        Deletion average length |	1.38
                        Insertion rate per base |	0.00%
                       Insertion average length |	1.04
                             MULTI-MAPPING READS:
        Number of reads mapped to multiple loci |	0
             % of reads mapped to multiple loci |	0.00%
        Number of reads mapped to too many loci |	2650238
             % of reads mapped to too many loci |	15.28%
                                  UNMAPPED READS:
       % of reads unmapped: too many mismatches |	0.00%
                 % of reads unmapped: too short |	1.05%
                     % of reads unmapped: other |	0.02%
