                                 Started job on |	Jul 24 18:51:08
                             Started mapping on |	Jul 24 18:51:08
                                    Finished on |	Jul 24 18:51:53
       Mapping speed, Million of reads per hour |	847.48

                          Number of input reads |	10593468
                      Average input read length |	51
                                    UNIQUE READS:
                   Uniquely mapped reads number |	9246292
                        Uniquely mapped reads % |	87.28%
                          Average mapped length |	50.74
                       Number of splices: Total |	76493
            Number of splices: Annotated (sjdb) |	73410
                       Number of splices: GT/AG |	75982
                       Number of splices: GC/AG |	104
                       Number of splices: AT/AC |	5
               Number of splices: Non-canonical |	402
                      Mismatch rate per base, % |	0.36%
                         Deletion rate per base |	0.00%
                        Deletion average length |	1.35
                        Insertion rate per base |	0.00%
                       Insertion average length |	1.05
                             MULTI-MAPPING READS:
        Number of reads mapped to multiple loci |	0
             % of reads mapped to multiple loci |	0.00%
        Number of reads mapped to too many loci |	1009389
             % of reads mapped to too many loci |	9.53%
                                  UNMAPPED READS:
       % of reads unmapped: too many mismatches |	0.00%
                 % of reads unmapped: too short |	3.16%
                     % of reads unmapped: other |	0.03%
